date,Open_Price,High_Price,Low_Price,Volume,Close_Price
03/16/2020,107.49,107.49,100,5403923,102.37
03/17/2020,102.55,105,97.25,4118915,99.2
03/18/2020,100.9,102.8,92.2,6548737,96.08
03/19/2020,94.5,94.5,87,9073962,89.47
03/20/2020,99.88,99.88,88,5442580,92.97
03/23/2020,87,94.83,81,8144624,83.52
03/24/2020,86,90,83.07,8341885,85
03/25/2020,85,90,84,4949433,89.46
03/26/2020,92,94.8,84,5221102,92.68
03/27/2020,93,96.4,90.87,4258490,91.26
03/30/2020,90,92.5,88.65,4813354,89.17
03/31/2020,90,92.65,89.7,3737735,91.94
04-01-2020,91.94,91.94,89,2782804,89.35
04-03-2020,90,91.2,86.35,4260702,86.59
04-07-2020,90,92.8,88.25,4840152,92.41
04-08-2020,91,98,90.65,5210576,92.82
04-09-2020,93.95,96.5,93.4,4706456,96.23
04/13/2020,96.95,96.95,94.08,2175310,95.62
04/15/2020,97,97.9,94.55,2756785,95.2
04/16/2020,96,96,94,1777655,95.68
04/17/2020,98,98.7,96.4,2622443,98.21
04/20/2020,100.1,100.96,97.8,2279271,97.99
04/21/2020,91.1,105.99,91.1,2146306,95.6
04/22/2020,102,102,94.05,1728534,97.38
04/23/2020,96.28,98.85,96.28,1573782,98.62
04/24/2020,97.1,98.14,96.1,6117467,97.1
04/27/2020,97.15,99.05,97.1,2031699,98.43
04/28/2020,100.1,100.1,98.3,1050246,99.35
04/29/2020,100,101.7,99.4,2746729,101.12
04/30/2020,102,104.69,101.61,3783690,104.18
05-04-2020,104.18,104.21,98.12,4249161,98.8
05-05-2020,95.8,102.5,92.9,2950667,97.65
05-06-2020,98.5,99,96.76,1654593,98.5
05-07-2020,98.05,99,97.1,1921875,97.6
05-08-2020,98.49,99.36,98,871210,98.12
05-11-2020,98.99,99.97,98.01,1213126,98.21
05-12-2020,98.19,98.85,96.21,1596323,97.96
05/13/2020,95.9,106.8,95.9,3330046,99.69
05/14/2020,97.7,99.39,97.11,1975805,97.42
05/15/2020,97.5,98.9,96.37,2010265,97.08
05/18/2020,97.85,97.9,93.75,4744786,93.93
05/19/2020,95.01,95.99,94.2,3341572,94.34
05/20/2020,95.65,96.79,94.02,1981167,96.25
05/21/2020,97.45,97.46,95.5,1286795,96.69
05/22/2020,99,99,94.8,1872398,96.11
05/26/2020,98,98,84.6,2194346,96.21
05/27/2020,96.95,98.79,95.52,2916890,98.6
05/28/2020,98.95,100.7,98.7,2933866,100.37
05/29/2020,99.9,101.76,98.8,2556493,101.38
06-01-2020,102,105.28,102,3862496,104.42
06-02-2020,102,106,95,2967926,105.89
06-03-2020,106.88,107.84,106.11,3693773,106.36
06-04-2020,106.36,107.17,105.1,2256015,106.27
06-05-2020,106.27,107.95,106.25,1847988,107.66
06-08-2020,108.5,109.45,107.67,2765914,108.1
06-09-2020,109,109.1,106.6,2356586,106.85
06-10-2020,107.4,107.9,104.21,1834025,107.52
06-11-2020,107.05,107.88,105.11,2105891,105.3
06-12-2020,103.87,105.91,102.2,4921933,105.72
06/15/2020,105.65,105.72,103.39,3330233,104.51
